date,number_of_rides,number_of_riders,number_of_vehicles_used,median_ride_distance_meters,median_avg_speed,median_ride_duration,number_of_ready_vehicles
2019-09-19,10867,7812,2934,1279.0484726990258,13.301223837204386,5.95,6583
2019-04-19,5914,3786,1015,814.2517520090411,4.838583296489567,10.075,NA
2018-10-11,1863,1413,308,0,0,7.116667,NA
2019-08-11,9287,6505,2909,838.5082931466449,7.817996994448948,7.116667,4951
2021-06-08,24304,11738,4807,1474.1386371593485,12.62000391816068,7.516667,6169
2021-05-07,13560,7361,3072,1302.708112018958,12.67410137986804,6.683333,3836
2019-09-15,6841,4975,2440,857.6232585033778,9.08953562505422,6.483333,5431
2020-10-30,13033,7062,2620,1135.84232654277,11.321262080925626,6.5,3353
2019-06-08,11447,8099,1553,881.0196782401863,5.598329596954231,10,NA
2018-12-30,1595,1177,565,742.8917332072762,6.039482654423597,8.05,NA
2019-03-28,4152,3036,656,723.7806260164687,8.167809623941768,5.966667,NA
2019-01-18,602,497,169,896.7081293671074,7.158364668653366,7.541667,NA
2019-03-16,3375,2374,783,661.6914776953063,6.012704711413226,6.966667,NA
2018-11-14,3508,2562,611,0,0,6.916667,NA
2021-07-08,27144,12246,4390,1644.5762809093014,12.592408395994351,8.6,5755
2020-12-13,4267,2586,1459,1145.5481940296663,11.321358084048894,6.616667,2622
2020-07-04,8860,5777,2140,1242.8876692238564,11.402752183591364,6.933333,3315
2021-09-11,24256,13099,5426,1405.5861151195445,11.989753979987686,7.6,6982
2020-09-17,13837,7865,3243,1232.9319589210168,12.309553483758513,6.466667,4707
2019-12-02,3744,2825,1709,1237.0557137015053,13.949930092185838,5.366667,4329
2020-06-02,8539,5646,2205,1109.3963596625854,11.226774642183543,6.45,3692
2020-08-27,15543,8961,2989,1319.0546799834674,12.281614717683,6.933333,4464
2019-09-03,11084,7886,2884,842.9927889929515,9.349761214831059,6.0083335,4895
2021-04-24,9793,5118,2283,1209.1519345007816,11.9589943054042,6.4,3069
2019-07-18,3204,2507,705,958.3540881957756,8.158951743148938,7.95,4720
2021-06-02,24389,11785,5226,1483.0833253568587,12.566083662448998,7.6,6357
2020-08-07,18318,9800,2842,1382.3390169434392,11.382726129067528,7.9,3344
2019-09-06,15259,10807,3149,833.1934195833321,8.960099993153788,6.25,5110
2021-07-28,21232,9886,4842,1411.5235315415748,11.816100075108064,7.8,6507
2019-11-25,7581,5484,2832,1298.898145331248,14.507756191292064,5.466667,5769
2018-10-21,2944,2024,560,0,0,10.833333,NA
2021-03-17,6828,3836,1903,1279.4756554330497,12.619531488433513,6.45,2835
2021-05-01,11051,5822,2479,1419.803644224945,12.118161018676759,7.616667,3146
2018-12-12,2878,2186,649,746.5421076952133,7.958184353882988,6.233333,NA
2021-09-12,14893,8401,4590,1364.2726996055776,12.7543700422332,7.05,6954
2019-08-26,14280,9887,2990,923.0442831345642,9.179711837813137,6.616667,5012
2019-10-30,8208,5985,3061,1257.860789373052,14.01623894760531,5.583333,6312
2019-01-24,2260,1688,843,755.0863224005575,8.10065280720109,6.3583335,NA
2019-08-10,12341,8662,3211,799.3527575034059,7.529749787899867,7.133333,5034
2021-08-13,29296,14551,5674,1448.4591397981653,12.042904419307387,7.983333,6902
2019-03-14,2892,2141,761,751.0163435776616,8.498292520886709,5.775,NA
2019-07-26,18686,11592,3207,887.8177834302294,7.4657149878154625,7.866667,5465
2020-03-07,3771,2928,1362,1145.4125646328132,12.087194041132863,5.916667,1991
2020-01-01,2288,1532,1075,1564.714251621763,12.205659575017041,7.516667,2375
2018-10-04,1757,1326,287,0,0,7.05,NA
2018-12-15,2295,1753,641,714.4432834198267,5.965985655919952,7.516667,NA
2020-01-23,4636,3473,1330,1373.6934125439523,14.840861210529749,5.666667,2442
2019-03-04,1941,1463,722,757.7681596310284,8.743664556272266,5.766667,NA
2019-12-21,3872,2905,1501,1284.7674970293315,13.61567701332023,5.825,3018
2019-07-01,13913,9593,2582,914.0873414702154,8.640972012873773,7.283333,6071
2019-11-17,5765,4274,2859,1317.3680848526453,13.579447546974738,6.016667,6128
2019-12-08,3196,2547,1586,1231.1690616065084,13.713164614345622,5.383333,3359
2020-08-03,10337,5814,2533,1322.8229642122858,11.651803698205915,7.366667,3288
2018-11-27,3336,2497,734,0,0,6.45,NA
2019-12-05,7342,5434,2280,1325.3248450849092,14.328726388484228,5.666667,4095
2019-01-14,922,721,383,776.369558890684,8.585001737833117,5.983333,NA
2020-04-29,4893,3335,1749,1125.1607029863583,12.200268618901406,5.783333,5119
2020-11-21,5082,2962,1722,1055.3460948815396,11.368341990252105,5.983333,2802
2019-12-27,2855,2092,1259,1209.4609514795313,13.681023657973933,5.5,2734
2019-05-21,10689,7508,1659,902.6932985942186,7.670500090181917,7.766667,NA
2021-08-27,23120,13052,5387,1235.8477563718322,12.485904717230312,6.55,7080
